DocumentCopyID,DocumentCopyPropertyValue
69190,"Argon, sterk gekoeld, vloeibaar"
69191,Silaan
69192,Zwavelhexafluoride
69193,FRESHLINE Oxygen
69194,INOMAXX PLUS
69195,ALUMAXX PLUS
69199,Methaan G20
69200,Propyleen G32
69202,AIR
69205,FRESHLINE Carbon Dioxide
69206,Butaan
69207,"Koolstofdioxyde, sterk gekoeld, vloeibaar"
69210,Helium
69211,Methaan
69219,"Stikstof, sterk gekoeld, vloeibaar"
69220,Stikstof
69221,FRESHLINE Nitrogen
69223,Distikstofoxyde
69224,Aardgas
69226,Trans-LC
69231,Halocarbon 116
69232,Hexafluorethaan
69234,ASTEC 30
69235,INOMAXX 2
69237,FERROMAXX 7
69240,PROTEC 5
69242,WELDAP 8
69244,WELDAP 20
69250,FERROMAXX PLUS
69251,Waterstof
69252,FRESHLINE 20%CO2 IN N2
69253,FRESHLINE 30%CO2 IN N2
69254,"Waterstof, sterk gekoeld, vloeibaar"
69255,PRODARC 2
69256,WELDAP 15
69259,WELDOX 7
69260,"Waterstofbromide, watervrij"
69261,FRESHLINE 50%CO2 IN N2
69270,FRESHLINE 40%CO2 IN N2
69283,PROTEC 10
69284,AIR
69285,Distikstofoxyde
69288,Zuurstof
69289,Koolstofdioxyde
69492,Trans-LC
69505,SURFYNOL 104PG Surfactant
69506,SURFYNOL 104A Surfactant
69507,SURFYNOL PSA336 Surfactant
69509,DYNOL 604 Surfactant
69512,DABCO T12A Catalyseur
69513,DABCO T-12 Catalyseur
69523,EPODIL 747 Diluant
69527,SURFYNOL 104S Surfactant
69534,IMICURE AMI-2
69543,POLYCAT SA-1 Catalyseur
69544,Protoxyde d'azote
69545,Azote
69552,OXYGENE AVIATION
69557,HYBRIDUR 540 Polymer Dispersion
69559,LTO-410
69562,Dimethylaminopropylamine
69563,Dimethylaminopropylamine DIMETHYLAMINOPROPYLAMINE
69570,Triethylenediamine
69584,Helium
69595,Argon (Refrigerated)
69599,BREATHING AIR
69600,Hydrogen
69605,Oxygen (Refrigerated)
69606,Oxygen
69607,OXYGEN AVIATION
69612,Trans-LC
69618,LTO-410
69622,Oxygen
69624,Xenon
69629,Nitrogen (Refrigerated)
69630,Nitrogen
69634,Hydrogen (Refrigerated)
69638,FLEXTHANE VRB 1 Aqueous Polyurethane Dispersion
69639,FLEXTHANE VRA L1 Aqueous Polyurethane Dispersion
69642,Oxygen (Refrigerated)
69643,TOMADOL L130 SURFACTANT
69645,TOMADOL 1-6 SURFACTANT
69646,TOMAMINE PA-14 SURFACTANT
69647,TOMADOL 1-7 SURFACTANT
69648,TOMAMINE E-14-5 SURFACTANT
69649,TOMAMINE DA-17 SURFACTANT
69650,TOMAMINE AO-728 Special SURFACTANT
69656,NONATELL 6215 SURFACTANT
69657,SURFYNOL OP-340 SURFACTANT
69658,SURFYNOL 502 SURFACTANT
69659,SURFYNOL GA SURFACTANT
69661,SURFYNOL DF-62 DEFOAMER
69662,SURFYNOL DF-58 DEFOAMER
69664,SURFYNOL DF-37 DEFOAMER
69667,SURFYNOL 82PG SURFACTANT
69669,SURFYNOL 82 SURFACTANT
69672,SURFYNOL 61 SURFACTANT
69673,SURFYNOL 485W SURFACTANT
69674,SURFYNOL 485 SURFACTANT
69676,SURFYNOL 465 SURFACTANT
69682,SURFYNOL DF-75 DEFOAMER
69683,SURFYNOL DF-110L DEFOAMER
69684,EPODIL 741 Diluent 98%
69685,EPODIL 741 Diluent 74%
69686,DABCO TMR-30 Catalyst
69687,ANCAMINE K54 Curing Agent
69688,ANCAMINE MCA Curing Agent
69689,ANCAMINE LVS Curing Agent
69690,CUREZOL 2E4MZ Curing Agent
69691,AMICURE CG-1200G Curing Agent
69692,AMICURE CG-1200 Curing Agent
69693,ANCAMINE BDMA Hardener
69694,ANQUAMINE 419 Curing Agent
69695,ANQUAMINE 401 Curing Agent
69696,ANQUAMINE 287 Curing Agent
69697,ANCAMINE 2489 Curing Agent
69698,ANCAMINE 2432 Curing Agent
69716,SURFYNOL TENSID-S SURFACTANT
69720,SURFYNOL TG SURFACTANT
69722,SURFYNOL SE SURFACTANT
69723,Dimethylaminopropylamine DIMETHYLAMINOPROPYLAMINE
69724,Dimethylaminopropylamine
69725,Dicyclohexylamine
69726,POLYCAT DBU Catalyst
69727,AMICURE DBUE Curing Agent
69729,Cyclohexylamine
69730,Ortho-Toluenediamine
69731,SURFYNOL MD-20 DEFOAMER
69734,POLYCAT PC1058 Catalyst
69735,ANCAMINE 2564A Curing Agent
69736,CARBOWET 109 SURFACTANT
69737,SURFYNOL DF110BC DEFOAMER
69738,SURFYNOL DF178 DEFOAMER
69739,Intelimer 8600 Polymer
69742,DABCO TA Catalyst
69743,DABCO T Catalyst
69744,DABCO DEM042 Catalyst
69745,DABCO 25-S Catalyst
69748,PEP 100 Promoter
69749,POLYCAT WCA Catalyst
69750,POLYCAT CC Catalyst
69751,POLYCAT SA-102 Catalyst
69754,DYNOL 607 SURFACTANT
69756,ANCAMIDE 506 Curing Agent
69757,ANCAMIDE 503 Curing Agent
69758,ANCAMIDE 502 Curing Agent
69759,ANCAMIDE 502HD Curing Agent
69760,ANCAMIDE 375A Curing Agent
69761,ANCAMIDE 350A Curing Agent
69762,ANCAMIDE 260A Curing Agent
69763,ANCAMINE 2441 Curing Agent
69764,ANCAMINE 1637LV Curing Agent
69765,ANCAMINE 1637-LVG Curing Agent
69768,Meta-Toluenediamine
69770,DABCO TMR-5 Catalyst
69771,DABCO TMR-4 Catalyst
69773,ANCAMINE TETA Curing Agent
69774,ANCAMINE TEPA Curing Agent
69775,SUR-WET R Curing Agent
69776,IMICURE EMI-24 Curing Agent 95%
69777,ANCAMINE LV Curing Agent
69779,ANCAMINE DETA Curing Agent
69783,CUREZOL C17Z Curing Agent
69784,IMICURE AMI-2 Curing Agent 99%
69785,IMICURE AMI-2
69786,IMICURE AMI-2 Curing Agent 98.5%
69787,ANCAMINE AEP Curing Agent
69788,ANCAMINE AD Curing Agent
69789,ANCAMINE 1767 Curing Agent
69790,ANCAMINE 1693 Curing Agent
69791,ANCAMINE 1637 Curing Agent
69792,ANCAMINE 1608 Curing Agent
69793,ANCAMIDE 500 Curing Agent
69794,ANCAMIDE 2634 Curing Agent
69795,ANCAMINE 2587 Curing Agent
69796,ANCAMINE 2584 Curing Agent
69797,ANCAMIDE 2582 Curing Agent
69798,ANCAMINE 2580 Curing Agent
69799,ANCAMINE 2526 Curing Agent
69800,ANCAMINE 2505 Curing Agent
69801,ANCAMINE 2481 Curing Agent
69802,ANCAMINE 2480 Curing Agent
69806,ANCAMIDE 2443 Curing Agent
69807,ANCAMIDE 2426 Curing Agent
69808,ANCAMIDE 2424 Curing Agent
69809,ANCAMINE 2423 Curing Agent
69810,ANCAMINE 2410-IPA-75 Curing Agent
